Freshwater network connectivity scores and statistics and protection status of networks and hub lakes in the conterminous US,,,,,,,,,,,,,,,,,
,,,,,,,,,,Network protection,,,,Hub protection,,,
Network ID^,Rank,Score,Level,Ecoregion,Lakes,Hubs,Dams,Dam rate*,North-South distance (km),"Strict, lake center","Strict + multi-use, lake center","Strict, 80% watershed","Strict + multi-use, 80% watershed","Strict, lake center","Strict + multi-use, lake center","Strict, 80% watershed","Strict + multi-use, 80% watershed"
3,1,12.02,High,WMT,2027,42,954,47.10%,"1,330.34",41.10%,68.90%,39.10%,72.60%,26.20%,83.30%,26.20%,76.20%
52,2,9.49,High,SPL,536,13,388,72.40%,"1,312.70",17.20%,30.40%,11.20%,30.00%,0.00%,23.10%,0.00%,30.80%
34,3,8.1,High,WMT,2397,55,915,38.20%,820.36,36.30%,67.00%,32.50%,67.00%,12.70%,43.60%,16.40%,47.30%
59,4,6.7,High,WMT,1780,49,484,27.20%,629.52,52.90%,65.30%,51.50%,62.40%,46.90%,59.20%,42.90%,46.90%
50,5,6.21,High,SPL,1529,22,1273,83.30%,611.93,1.80%,2.40%,0.90%,1.00%,22.70%,22.70%,9.10%,9.10%
10,6,5.67,High,NAP,2659,71,1099,41.30%,505.4,5.30%,11.70%,11.90%,15.80%,12.70%,19.70%,4.20%,9.90%
2,7,5.19,High,CPL,3241,72,1760,54.30%,491.73,1.80%,2.70%,0.60%,1.20%,6.90%,6.90%,0.00%,0.00%
90,8,5.19,High,SAP,420,9,372,88.60%,238.12,5.20%,11.70%,5.50%,10.00%,11.10%,33.30%,11.10%,22.20%
36,9,4.94,High,CPL,1076,38,268,24.90%,245.86,0.50%,1.20%,0.00%,0.20%,2.60%,7.90%,0.00%,0.00%
11,10,4.84,High,UMW,754,16,250,33.20%,380.41,17.10%,23.90%,3.30%,4.40%,18.80%,18.80%,6.30%,12.50%
15,11,4.4,High,SAP,765,24,424,55.40%,173.63,2.70%,5.20%,0.70%,3.00%,0.00%,8.30%,0.00%,0.00%
106,12,4.03,High,XER,15,0,0,0.00%,29.3,6.70%,53.30%,0.00%,20.00%,NA,NA,NA,NA
95,13,4.01,High,XER,21,1,43,204.80%,146.39,28.60%,47.60%,23.80%,76.20%,0.00%,0.00%,0.00%,100.00%
6,14,3.67,Medium,CPL,2604,66,1612,61.90%,482.56,1.30%,2.00%,1.10%,2.10%,1.50%,3.00%,0.00%,0.00%
20,15,3.63,Medium,NAP,1118,37,746,66.70%,434.21,4.40%,22.40%,1.50%,9.70%,0.00%,10.80%,0.00%,0.00%
279,16,3.59,Medium,TPL,9,0,1,11.10%,4.48,11.10%,33.30%,0.00%,0.00%,NA,NA,NA,NA
24,17,3.58,Medium,CPL,1810,61,910,50.30%,316.38,2.50%,3.30%,1.00%,1.60%,8.20%,9.80%,4.90%,4.90%
313,18,3.49,Medium,UMW,8,0,0,0.00%,6.67,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
112,19,3.49,Medium,TPL,5,0,9,180.00%,17.39,20.00%,20.00%,0.00%,0.00%,NA,NA,NA,NA
28,20,3.46,Medium,SAP,1665,37,944,56.70%,553.87,2.00%,2.60%,0.50%,0.90%,0.00%,0.00%,0.00%,0.00%
47,21,3.4,Medium,NAP,1463,38,754,51.50%,355.69,6.40%,13.70%,2.30%,4.20%,7.90%,13.20%,2.60%,2.60%
32,22,3.4,Medium,WMT,122,6,49,40.20%,289.1,55.70%,71.30%,52.50%,65.60%,16.70%,50.00%,16.70%,33.30%
21,23,3.38,Medium,CPL,516,7,107,20.70%,539.44,3.90%,10.10%,1.70%,6.40%,14.30%,28.60%,0.00%,0.00%
192,24,3.37,Medium,CPL,26,0,18,69.20%,30.59,0.00%,7.70%,0.00%,11.50%,NA,NA,NA,NA
423,25,3.33,Medium,CPL,9,0,7,77.80%,8.36,100.00%,100.00%,22.20%,22.20%,NA,NA,NA,NA
766,26,3.32,Medium,CPL,5,0,0,0.00%,3.92,20.00%,40.00%,0.00%,60.00%,NA,NA,NA,NA
721,27,3.32,Medium,CPL,5,0,0,0.00%,3.13,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
247,28,3.32,Medium,NAP,6,0,2,33.30%,6.29,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
627,29,3.3,Medium,CPL,6,0,1,16.70%,13.85,0.00%,0.00%,0.00%,16.70%,NA,NA,NA,NA
48,30,3.3,Medium,CPL,1603,67,1176,73.40%,452.01,0.90%,2.60%,0.60%,0.90%,0.00%,0.00%,0.00%,0.00%
406,31,3.3,Medium,UMW,10,0,1,10.00%,8.35,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
342,32,3.3,Medium,CPL,8,0,2,25.00%,16.62,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
77,33,3.29,Medium,TPL,7,0,2,28.60%,22.42,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
355,34,3.27,Medium,CPL,10,0,5,50.00%,44.63,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
248,35,3.27,Medium,CPL,6,0,2,33.30%,20.58,0.00%,16.70%,0.00%,0.00%,NA,NA,NA,NA
382,36,3.27,Medium,WMT,5,0,2,40.00%,19.3,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
411,37,3.26,Medium,CPL,9,0,0,0.00%,18.43,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
256,38,3.25,Medium,CPL,5,0,0,0.00%,18.09,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
132,39,3.24,Medium,WMT,108,4,12,11.10%,206.64,71.30%,97.20%,78.70%,95.40%,0.00%,75.00%,25.00%,75.00%
9,40,3.23,Medium,CPL,2247,36,1209,53.80%,315.88,1.50%,4.50%,1.20%,1.70%,5.60%,11.10%,0.00%,0.00%
673,41,3.2,Medium,WMT,6,0,2,33.30%,17.11,0.00%,33.30%,0.00%,33.30%,NA,NA,NA,NA
100,42,3.18,Medium,CPL,249,11,93,37.30%,187.67,0.80%,1.20%,0.40%,0.80%,0.00%,0.00%,0.00%,0.00%
58,43,3.14,Medium,CPL,441,12,255,57.80%,260.08,4.30%,5.20%,1.80%,3.20%,0.00%,0.00%,0.00%,0.00%
376,44,3.13,Medium,CPL,9,0,0,0.00%,186.4,44.40%,66.70%,33.30%,55.60%,NA,NA,NA,NA
33,45,3.07,Medium,NAP,1731,76,286,16.50%,392.07,3.80%,8.40%,6.80%,11.10%,1.30%,5.30%,2.60%,2.60%
66,46,3.07,Medium,NPL,6,0,0,0.00%,5.12,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
94,47,3.04,Medium,CPL,7,0,5,71.40%,7.46,14.30%,14.30%,0.00%,28.60%,NA,NA,NA,NA
371,48,2.99,Medium,WMT,16,0,17,106.30%,91.36,0.00%,18.80%,0.00%,6.30%,NA,NA,NA,NA
64,49,2.98,Medium,UMW,825,16,220,26.70%,266.8,2.20%,7.60%,1.00%,1.00%,0.00%,0.00%,0.00%,0.00%
69,50,2.98,Medium,CPL,26,0,11,42.30%,38.73,3.80%,3.80%,0.00%,0.00%,NA,NA,NA,NA
189,51,2.93,Medium,WMT,133,7,2,1.50%,141.71,97.70%,99.20%,97.70%,98.50%,100.00%,100.00%,100.00%,100.00%
93,52,2.93,Medium,CPL,23,0,9,39.10%,36.7,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
136,53,2.92,Medium,XER,21,1,30,142.90%,101.57,4.80%,9.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
99,54,2.89,Medium,XER,105,3,68,64.80%,216.83,13.30%,29.50%,5.70%,31.40%,0.00%,0.00%,0.00%,0.00%
800,55,2.8,Medium,CPL,5,0,0,0.00%,0.86,100.00%,100.00%,0.00%,0.00%,NA,NA,NA,NA
407,56,2.79,Medium,NAP,5,0,0,0.00%,3.31,20.00%,20.00%,0.00%,0.00%,NA,NA,NA,NA
685,57,2.79,Medium,CPL,5,1,0,0.00%,3.37,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
550,58,2.79,Medium,TPL,5,0,0,0.00%,4.63,20.00%,20.00%,0.00%,0.00%,NA,NA,NA,NA
287,59,2.78,Medium,TPL,5,0,0,0.00%,5.51,20.00%,20.00%,0.00%,0.00%,NA,NA,NA,NA
364,60,2.78,Medium,TPL,5,0,0,0.00%,6.43,20.00%,80.00%,0.00%,0.00%,NA,NA,NA,NA
457,61,2.76,Medium,TPL,5,0,0,0.00%,7.27,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
314,62,2.75,Medium,CPL,72,1,9,12.50%,29.84,100.00%,100.00%,4.20%,4.20%,100.00%,100.00%,0.00%,0.00%
762,63,2.73,Medium,XER,5,0,0,0.00%,17.56,0.00%,80.00%,0.00%,100.00%,NA,NA,NA,NA
264,64,2.72,Medium,WMT,5,0,0,0.00%,5.26,0.00%,20.00%,0.00%,0.00%,NA,NA,NA,NA
282,65,2.72,Medium,NAP,5,1,0,0.00%,3.05,0.00%,0.00%,40.00%,40.00%,0.00%,0.00%,0.00%,0.00%
30,66,2.68,Medium,UMW,20,1,4,20.00%,46.9,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
516,67,2.68,Medium,WMT,5,1,1,20.00%,2.65,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
681,68,2.63,Medium,XER,7,2,0,0.00%,2.91,0.00%,100.00%,0.00%,14.30%,0.00%,100.00%,0.00%,0.00%
827,69,2.63,Medium,NAP,5,0,2,40.00%,1.86,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
119,70,2.61,Medium,WMT,45,3,55,122.20%,220.24,2.20%,40.00%,2.20%,55.60%,0.00%,33.30%,0.00%,33.30%
280,71,2.6,Medium,NAP,14,0,0,0.00%,19.52,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
760,72,2.6,Medium,NPL,5,1,2,40.00%,5.18,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
67,73,2.59,Medium,TPL,146,7,58,39.70%,147.49,5.50%,10.30%,3.40%,3.40%,14.30%,28.60%,14.30%,14.30%
761,74,2.57,Medium,NAP,8,1,4,50.00%,7.86,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
139,75,2.52,Medium,NAP,271,10,162,59.80%,194.84,2.20%,7.00%,2.20%,2.60%,0.00%,0.00%,0.00%,0.00%
198,76,2.52,Medium,NAP,5,0,3,60.00%,6.97,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
105,77,2.52,Medium,CPL,36,2,13,36.10%,39.43,5.60%,22.20%,5.60%,11.10%,0.00%,0.00%,0.00%,0.00%
296,78,2.49,Medium,UMW,7,1,0,0.00%,7.19,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
19,79,2.49,Medium,SAP,21,1,13,61.90%,28.68,0.00%,9.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
109,80,2.47,Medium,WMT,52,3,8,15.40%,66.11,67.30%,71.20%,67.30%,71.20%,66.70%,66.70%,66.70%,66.70%
524,81,2.46,Medium,CPL,5,0,4,80.00%,2.05,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
227,82,2.46,Medium,XER,16,0,14,87.50%,54.89,18.80%,50.00%,6.30%,6.30%,NA,NA,NA,NA
178,83,2.45,Medium,CPL,5,0,4,80.00%,8.4,20.00%,20.00%,0.00%,0.00%,NA,NA,NA,NA
65,84,2.45,Medium,CPL,48,0,13,27.10%,54.71,0.00%,8.30%,0.00%,8.30%,NA,NA,NA,NA
152,85,2.43,Medium,NAP,5,0,4,80.00%,7.65,20.00%,20.00%,20.00%,20.00%,NA,NA,NA,NA
31,86,2.42,Medium,SPL,454,14,288,63.40%,253.01,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
427,87,2.4,Medium,NAP,10,0,9,90.00%,34.1,0.00%,10.00%,0.00%,0.00%,NA,NA,NA,NA
150,88,2.39,Medium,NAP,29,0,11,37.90%,30.82,3.40%,10.30%,0.00%,0.00%,NA,NA,NA,NA
40,89,2.38,Medium,WMT,200,1,13,6.50%,72.84,70.50%,77.50%,60.50%,65.50%,100.00%,100.00%,100.00%,100.00%
210,90,2.36,Medium,TPL,7,0,0,0.00%,3.46,0.00%,28.60%,0.00%,0.00%,NA,NA,NA,NA
277,91,2.34,Medium,UMW,50,3,0,0.00%,15.35,36.00%,96.00%,26.00%,100.00%,33.30%,100.00%,33.30%,100.00%
45,92,2.31,Medium,SPL,326,11,261,80.10%,185.41,2.10%,2.10%,0.90%,0.90%,9.10%,9.10%,0.00%,0.00%
781,93,2.3,Medium,CPL,7,0,4,57.10%,3.54,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
57,94,2.29,Medium,NAP,749,23,436,58.20%,215.67,1.20%,14.60%,0.40%,6.00%,0.00%,0.00%,0.00%,0.00%
108,95,2.29,Medium,XER,5,0,5,100.00%,14.52,100.00%,100.00%,0.00%,80.00%,NA,NA,NA,NA
78,96,2.27,Medium,NAP,16,0,15,93.80%,27.65,0.00%,31.30%,0.00%,0.00%,NA,NA,NA,NA
118,97,2.26,Medium,WMT,28,1,31,110.70%,82.28,21.40%,42.90%,10.70%,46.40%,0.00%,100.00%,0.00%,100.00%
196,98,2.25,Medium,CPL,18,1,4,22.20%,61.81,11.10%,11.10%,11.10%,11.10%,0.00%,0.00%,0.00%,0.00%
134,99,2.24,Medium,XER,40,1,40,100.00%,70.38,5.00%,42.50%,2.50%,15.00%,0.00%,0.00%,0.00%,0.00%
35,100,2.23,Medium,CPL,609,29,332,54.50%,179.95,0.50%,0.50%,0.20%,0.20%,0.00%,0.00%,0.00%,0.00%
156,101,2.23,Medium,NAP,17,2,7,41.20%,25.89,5.90%,17.60%,0.00%,5.90%,0.00%,50.00%,0.00%,0.00%
648,102,2.22,Medium,XER,5,0,4,80.00%,24.32,60.00%,80.00%,0.00%,0.00%,NA,NA,NA,NA
133,103,2.2,Medium,CPL,172,7,35,20.30%,97.07,0.60%,1.20%,0.00%,1.20%,0.00%,0.00%,0.00%,0.00%
544,104,2.19,Medium,WMT,10,0,0,0.00%,21.22,60.00%,60.00%,0.00%,0.00%,NA,NA,NA,NA
271,105,2.18,Medium,NAP,9,0,3,33.30%,8.57,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
591,106,2.18,Medium,UMW,6,1,0,0.00%,4.59,0.00%,100.00%,33.30%,33.30%,0.00%,100.00%,0.00%,0.00%
289,107,2.17,Medium,UMW,13,2,2,15.40%,19.07,0.00%,7.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
858,108,2.13,Medium,TPL,6,0,0,0.00%,4.4,16.70%,16.70%,0.00%,0.00%,NA,NA,NA,NA
389,109,2.13,Medium,CPL,7,1,0,0.00%,2.68,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
232,110,2.12,Medium,WMT,13,0,35,269.20%,52.23,15.40%,69.20%,0.00%,46.20%,NA,NA,NA,NA
29,111,2.12,Medium,NAP,736,22,126,17.10%,159.94,7.30%,9.50%,38.60%,41.60%,13.60%,13.60%,31.80%,31.80%
68,112,2.11,Medium,UMW,364,11,113,31.00%,241.04,9.10%,12.40%,6.60%,8.00%,9.10%,9.10%,0.00%,0.00%
261,113,2.11,Medium,WMT,55,2,12,21.80%,118.49,60.00%,78.20%,63.60%,89.10%,0.00%,0.00%,0.00%,0.00%
527,114,2.08,Medium,WMT,7,0,6,85.70%,74.6,0.00%,42.90%,0.00%,0.00%,NA,NA,NA,NA
388,115,2.08,Medium,XER,16,1,4,25.00%,24.53,6.30%,12.50%,6.30%,6.30%,0.00%,0.00%,0.00%,0.00%
144,116,2.08,Medium,UMW,15,0,0,0.00%,18.11,0.00%,80.00%,0.00%,26.70%,NA,NA,NA,NA
211,117,2.06,Medium,XER,8,1,5,62.50%,21.18,12.50%,37.50%,0.00%,12.50%,100.00%,100.00%,0.00%,0.00%
582,118,2.06,Medium,CPL,7,0,3,42.90%,12.01,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
375,119,2.05,Medium,NAP,10,0,8,80.00%,11.96,10.00%,10.00%,10.00%,10.00%,NA,NA,NA,NA
140,120,2.05,Medium,WMT,41,3,56,136.60%,120,12.20%,48.80%,12.20%,48.80%,0.00%,33.30%,0.00%,33.30%
71,121,2.05,Medium,WMT,40,2,20,50.00%,134.6,22.50%,62.50%,15.00%,70.00%,0.00%,0.00%,0.00%,50.00%
249,122,2.05,Medium,NAP,9,1,6,66.70%,12.01,0.00%,22.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
98,123,2.03,Medium,WMT,92,2,11,12.00%,111.78,73.90%,85.90%,72.80%,85.90%,0.00%,50.00%,0.00%,50.00%
263,124,2.03,Medium,WMT,14,0,2,14.30%,39.21,64.30%,78.60%,71.40%,78.60%,NA,NA,NA,NA
240,125,2.01,Medium,CPL,19,2,10,52.60%,124.88,10.50%,15.80%,5.30%,15.80%,50.00%,50.00%,50.00%,50.00%
220,126,1.99,Low,UMW,7,0,4,57.10%,9.43,42.90%,71.40%,0.00%,0.00%,NA,NA,NA,NA
164,127,1.99,Low,UMW,30,1,0,0.00%,18.81,6.70%,76.70%,3.30%,93.30%,0.00%,100.00%,0.00%,100.00%
309,128,1.98,Low,UMW,27,1,4,14.80%,22.47,0.00%,3.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
145,129,1.98,Low,WMT,23,2,21,91.30%,72.48,21.70%,65.20%,21.70%,47.80%,50.00%,100.00%,50.00%,100.00%
165,130,1.97,Low,CPL,24,2,8,33.30%,112.31,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
238,131,1.96,Low,TPL,10,1,0,0.00%,6.95,10.00%,20.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
448,132,1.95,Low,WMT,12,2,11,91.70%,71.45,8.30%,33.30%,8.30%,41.70%,0.00%,50.00%,0.00%,50.00%
284,133,1.95,Low,NAP,6,0,0,0.00%,2.46,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
529,134,1.93,Low,TPL,6,0,0,0.00%,4.9,33.30%,33.30%,0.00%,0.00%,NA,NA,NA,NA
38,135,1.92,Low,CPL,6,0,4,66.70%,2.75,33.30%,66.70%,0.00%,0.00%,NA,NA,NA,NA
5,136,1.91,Low,SAP,483,11,249,51.60%,168.7,1.20%,3.10%,0.20%,0.80%,0.00%,9.10%,0.00%,0.00%
357,137,1.91,Low,NAP,18,0,0,0.00%,14.76,0.00%,11.10%,27.80%,33.30%,NA,NA,NA,NA
581,138,1.9,Low,UMW,6,0,0,0.00%,2.91,0.00%,83.30%,0.00%,83.30%,NA,NA,NA,NA
200,139,1.89,Low,UMW,64,4,0,0.00%,22.55,51.60%,90.60%,42.20%,92.20%,25.00%,50.00%,50.00%,100.00%
410,140,1.89,Low,WMT,10,1,1,10.00%,26.27,0.00%,70.00%,20.00%,80.00%,0.00%,0.00%,0.00%,100.00%
158,141,1.89,Low,CPL,6,0,4,66.70%,2.14,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
160,142,1.88,Low,TPL,147,8,52,35.40%,122.73,16.30%,19.00%,2.00%,2.00%,37.50%,37.50%,12.50%,12.50%
14,143,1.88,Low,WMT,65,3,28,43.10%,143.11,44.60%,76.90%,38.50%,80.00%,0.00%,66.70%,0.00%,33.30%
486,144,1.88,Low,CPL,7,2,0,0.00%,3.16,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
633,145,1.88,Low,CPL,5,0,0,0.00%,4.24,100.00%,100.00%,0.00%,0.00%,NA,NA,NA,NA
141,146,1.87,Low,CPL,25,2,2,8.00%,4.04,40.00%,72.00%,4.00%,4.00%,100.00%,100.00%,0.00%,0.00%
573,147,1.86,Low,UMW,6,0,1,16.70%,11.17,0.00%,16.70%,0.00%,0.00%,NA,NA,NA,NA
195,148,1.86,Low,CPL,6,0,3,50.00%,8.97,33.30%,50.00%,0.00%,0.00%,NA,NA,NA,NA
383,149,1.86,Low,UMW,6,1,0,0.00%,7.5,0.00%,0.00%,16.70%,16.70%,0.00%,0.00%,0.00%,0.00%
437,150,1.85,Low,UMW,6,0,1,16.70%,11.68,83.30%,83.30%,83.30%,83.30%,NA,NA,NA,NA
236,151,1.84,Low,XER,14,0,12,85.70%,189.16,7.10%,21.40%,0.00%,0.00%,NA,NA,NA,NA
338,152,1.83,Low,UMW,6,1,1,16.70%,9.31,0.00%,16.70%,0.00%,33.30%,0.00%,0.00%,0.00%,100.00%
443,153,1.82,Low,WMT,7,1,0,0.00%,10.87,57.10%,100.00%,42.90%,71.40%,0.00%,100.00%,0.00%,100.00%
480,154,1.81,Low,NAP,6,0,2,33.30%,12.69,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
324,155,1.8,Low,CPL,6,0,1,16.70%,26.96,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
44,156,1.78,Low,CPL,36,0,19,52.80%,66.55,2.80%,2.80%,0.00%,5.60%,NA,NA,NA,NA
42,157,1.78,Low,NAP,8,0,4,50.00%,6.05,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
129,158,1.78,Low,CPL,23,0,23,100.00%,45.88,8.70%,21.70%,4.30%,4.30%,NA,NA,NA,NA
465,159,1.77,Low,NAP,6,0,2,33.30%,22.43,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
369,160,1.76,Low,WMT,6,0,4,66.70%,23.22,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
704,161,1.76,Low,CPL,5,0,0,0.00%,1.96,40.00%,40.00%,40.00%,40.00%,NA,NA,NA,NA
166,162,1.76,Low,CPL,186,2,93,50.00%,143.16,2.70%,2.70%,0.50%,0.50%,0.00%,0.00%,0.00%,0.00%
253,163,1.75,Low,WMT,42,3,10,23.80%,33.87,73.80%,92.90%,57.10%,76.20%,0.00%,66.70%,0.00%,66.70%
661,164,1.75,Low,CPL,6,0,3,50.00%,1.07,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
463,165,1.74,Low,XER,5,0,0,0.00%,4.67,0.00%,100.00%,0.00%,80.00%,NA,NA,NA,NA
356,166,1.74,Low,TPL,5,1,1,20.00%,13.44,20.00%,20.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
651,167,1.74,Low,UMW,5,1,0,0.00%,5.1,80.00%,80.00%,80.00%,80.00%,100.00%,100.00%,100.00%,100.00%
272,168,1.73,Low,UMW,19,2,2,10.50%,6.15,10.50%,31.60%,10.50%,10.50%,0.00%,0.00%,0.00%,0.00%
394,169,1.73,Low,NAP,6,0,5,83.30%,10.68,16.70%,16.70%,0.00%,0.00%,NA,NA,NA,NA
621,170,1.72,Low,NAP,8,1,3,37.50%,5.52,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
323,171,1.72,Low,UMW,5,1,1,20.00%,10.41,0.00%,60.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%
366,172,1.71,Low,NAP,6,0,3,50.00%,6.79,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
639,173,1.71,Low,NAP,5,0,0,0.00%,2.12,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
285,174,1.7,Low,NAP,5,0,1,20.00%,3.72,20.00%,40.00%,0.00%,0.00%,NA,NA,NA,NA
53,175,1.7,Low,NAP,338,8,170,50.30%,187.95,7.70%,17.50%,16.60%,19.20%,0.00%,25.00%,0.00%,0.00%
75,176,1.69,Low,CPL,382,16,165,43.20%,120.32,0.50%,0.80%,0.00%,0.30%,0.00%,0.00%,0.00%,0.00%
295,177,1.68,Low,NAP,5,0,2,40.00%,7.03,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
293,178,1.67,Low,UMW,23,1,2,8.70%,19.5,0.00%,34.80%,0.00%,87.00%,0.00%,0.00%,0.00%,100.00%
223,179,1.67,Low,WMT,14,1,0,0.00%,11.57,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
43,180,1.66,Low,UMW,1190,46,30,2.50%,180.01,52.90%,83.10%,49.90%,71.30%,37.00%,67.40%,23.90%,50.00%
420,181,1.66,Low,WMT,6,1,4,66.70%,18.12,0.00%,0.00%,0.00%,16.70%,0.00%,0.00%,0.00%,0.00%
126,182,1.66,Low,SAP,304,10,69,22.70%,110.8,0.30%,0.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
254,183,1.63,Low,NAP,22,1,7,31.80%,35.87,4.50%,4.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
60,184,1.62,Low,SAP,586,18,278,47.40%,180.43,0.30%,4.80%,0.00%,0.20%,5.60%,33.30%,0.00%,0.00%
110,185,1.62,Low,UMW,142,8,31,21.80%,67.97,4.20%,15.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
543,186,1.62,Low,XER,5,1,0,0.00%,8.28,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
16,187,1.61,Low,CPL,400,17,134,33.50%,128.32,0.30%,0.50%,0.00%,1.30%,0.00%,0.00%,0.00%,11.80%
421,188,1.61,Low,XER,9,1,4,44.40%,26.21,11.10%,44.40%,0.00%,11.10%,0.00%,100.00%,0.00%,0.00%
450,189,1.61,Low,CPL,17,1,6,35.30%,16.27,0.00%,17.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
