net_id,vert_btwn_centr_mean,vert_btwn_centr_med,vert_btwn_centr_norm_mean,vert_btwn_centr_norm_med
1,104413.0948,0,0.000193993,0
2,9090.614008,0,0.001732476,0
3,4933.211643,0,0.00240489,0
4,0,0,NA,NA
5,526.5817805,0,0.004542592,0
6,4613.096774,0,0.001362201,0
7,270.4313725,0,0.023564951,0
8,11.5,0,0.024731183,0
9,3255.033378,0,0.001291098,0
10,2491.091764,0,0.000705461,0
11,2915.966844,752,0.010299112,0.002656042
12,0.333333333,0,0.333333333,0
13,361.0916667,0,0.012696166,0
14,95.21538462,0,0.047229853,0
15,437.4470588,0,0.001500851,0
16,234.8425,0,0.002957677,0
17,132.1396396,0,0.005435608,0
18,195.1170732,0,0.002338524,0
19,39.19047619,36,0.206265664,0.189473684
20,1462.76297,0,0.002346857,0
21,1432.953488,0,0.010826591,0
22,1,1,0.333333333,0.333333333
23,1361.438819,235,0.049096243,0.008474576
24,1344.402762,0,0.000822096,0
25,74.69387755,0,0.016042499,0
26,473.4090909,0,0.005458046,0
27,36.87096774,0,0.084760845,0
28,3535.27988,0,0.002555102,0
29,2804.657609,0,0.010397441,0
30,40.6,41,0.237426901,0.239766082
31,534.5704846,0,0.005221537,0
32,128.5,0,0.017699725,0
33,7152.131138,0,0.004782163,0
34,7750.104297,0,0.002701128,0
35,689.7454844,0,0.003737891,0
36,605.5762082,0,0.001049026,0
37,451.559387,0,0.013411327,0
38,2.666666667,2,0.266666667,0.2
39,2.142857143,0,0.142857143,0
40,85.225,0,0.004325923,0
41,196.62,0,0.040531849,0
42,4.75,3,0.226190476,0.142857143
43,9867.691597,0,0.013971636,0
44,8.333333333,0,0.014005602,0
45,521.8619632,0,0.009911908,0
46,537.6666667,0,0.016344439,0
47,1647.943267,0,0.001543031,0
48,3435.169682,0,0.002678702,0
49,125.2419355,0,0.068438216,0
50,3586.837148,0,0.003074534,0
51,6.923076923,0,0.104895105,0
52,970.1623134,0,0.006791713,0
53,568.0650888,0,0.010033649,0
54,9.666666667,0,0.071078431,0
55,0,0,NA,NA
56,806.7682119,0,0.007915235,0
57,1319.168224,0,0.004721804,0
58,87.43310658,0,0.000905292,0
59,4756.135955,0,0.003007299,0
60,731.3327645,0,0.004281306,0
61,5.444444444,0,0.194444444,0
62,23.26923077,12,0.077564103,0.04
63,1326.262115,0.75,0.012954562,7.33E-06
64,2048.198788,0,0.00604053,0
65,4.791666667,0,0.004432624,0
66,3.333333333,4,0.333333333,0.4
67,115.4520548,0,0.011058626,0
68,578.8626374,0,0.008810292,0
69,0.923076923,0,0.003076923,0
70,19.75862069,0,0.052271483,0
71,15.275,0,0.020614035,0
72,4.333333333,0,0.078787879,0
73,98.55405405,0,0.037501543,0
74,59.84482759,0,0.037496759,0
75,150.3429319,0,0.002076847,0
76,0,0,NA,NA
77,0,0,0,0
78,1.75,0,0.016666667,0
79,1217.883077,323,0.023274913,0.00617284
80,5.3,0,0.030994152,0
81,8.666666667,0,0.095238095,0
82,1,1,0.333333333,0.333333333
83,27.34782609,21,0.118388858,0.090909091
84,0,0,NA,NA
85,1.428571429,0,0.095238095,0
86,26.80555556,0,0.045051354,0
87,620.9834254,0,0.038546457,0
88,1092.978947,0,0.015258463,0
89,0.333333333,0,0.333333333,0
90,231.4857143,0,0.002643406,0
91,5.888888889,0,0.21031746,0
92,25.78666667,0,0.009547081,0
93,0.913043478,0,0.003952569,0
94,5,5,0.333333333,0.333333333
95,2.619047619,0,0.013784461,0
96,7.076923077,0,0.107226107,0
97,11.42857143,0,0.146520147,0
98,63.55434783,0,0.015519987,0
99,124.8380952,0,0.023308084,0
100,45.57831325,0,0.001488126,0
101,0,0,NA,NA
102,105.5,0,0.042454728,0
103,32.96296296,0,0.101424501,0
104,13.47058824,15,0.112254902,0.125
105,3.722222222,0,0.006255836,0
106,30.33333333,33,0.333333333,0.362637363
107,0.75,0,0.25,0
108,2,3,0.333333333,0.5
109,35.80769231,0,0.028084465,0
110,489.7183099,140,0.04961685,0.014184397
111,8.888888889,0,0.065359477,0
112,0,0,0,0
113,3,0,0.083333333,0
114,109.42,0,0.093044218,0
115,89.80851064,0,0.086771508,0
116,0,0,NA,NA
117,32.10204082,0,0.028459256,0
118,7.071428571,0,0.02014652,0
119,54.68888889,0,0.057810665,0
120,190.1567164,0,0.021662875,0
121,0.333333333,0,0.333333333,0
122,9.592592593,0,0.02951567,0
123,97,0,0.029938272,0
124,0.5,0,0.166666667,0
125,2.6,0,0.072222222,0
126,188.3322368,0,0.004116282,0
127,9.2,0,0.022660099,0
128,0.333333333,0,0.333333333,0
129,5.130434783,0,0.022209674,0
130,45,0,0.04756871,0
131,1,1,0.333333333,0.333333333
132,225.8333333,106,0.039822489,0.018691589
133,58.48837209,0,0.004023968,0
134,51.275,0,0.069197031,0
135,14.79166667,0,0.058465086,0
136,1.714285714,0,0.009022556,0
137,1,0,0.166666667,0
138,0.333333333,0,0.333333333,0
139,225.9557196,0,0.006222104,0
140,41.63414634,0,0.053377111,0
141,43.68,23,0.15826087,0.083333333
142,25.46153846,0,0.084871795,0
143,0.333333333,0,0.333333333,0
144,1.733333333,0,0.019047619,0
145,14.95652174,0,0.064746847,0
146,17.18181818,0,0.034640762,0
147,12.58333333,0,0.049736495,0
148,9.523809524,0,0.050125313,0
149,0.333333333,0,0.333333333,0
150,2.793103448,0,0.007389163,0
151,21.31818182,10,0.101515152,0.047619048
152,2,3,0.333333333,0.5
153,260.0172414,0,0.017476626,0
154,4.933333333,0,0.054212454,0
155,0,0,NA,NA
156,25.23529412,15,0.210294118,0.125
157,0.333333333,0,0.333333333,0
158,2.666666667,2,0.266666667,0.2
159,1,1,0.333333333,0.333333333
160,364.4829932,145,0.034433915,0.01369863
161,1.25,0,0.05952381,0
162,59.63636364,31,0.120234604,0.0625
163,0,0,NA,NA
164,61.76666667,28,0.152134647,0.068965517
165,4.5,0,0.017786561,0
166,70.56989247,0,0.004146292,0
167,0,0,NA,NA
168,53.96202532,0,0.017969372,0
169,25.94117647,0,0.049131016,0
170,0,0,NA,NA
171,0.5,0,0.166666667,0
172,0,0,NA,NA
173,4.4,0,0.025730994,0
174,0,0,NA,NA
175,5.444444444,0,0.194444444,0
176,0,0,NA,NA
177,61.83636364,0,0.043211994,0
178,2,3,0.333333333,0.5
179,0.333333333,0,0.333333333,0
180,3.727272727,0,0.082828283,0
181,0,0,NA,NA
182,0.333333333,0,0.333333333,0
183,0.333333333,0,0.333333333,0
184,31.89473684,0,0.020710868,0
185,12.42857143,0,0.159340659,0
186,0.333333333,0,0.333333333,0
187,12.36,0,0.044782609,0
188,98.39393939,64,0.047304779,0.030769231
189,108.2706767,0,0.012522632,0
190,3.777777778,0,0.134920635,0
191,3.625,0,0.172619048,0
192,0,0,0,0
193,1,1,0.333333333,0.333333333
194,66.88709677,0,0.036550326,0
195,0.666666667,0,0.066666667,0
196,1.777777778,0,0.013071895,0
197,0,0,NA,NA
198,2,3,0.333333333,0.5
199,70.30337079,0,0.018365562,0
200,186.984375,62,0.095742127,0.031746032
201,50.28205128,0,0.071524966,0
202,29.34782609,21,0.127046866,0.090909091
203,0.333333333,0,0.333333333,0
204,36,0,0.102564103,0
205,9.142857143,0,0.117216117,0
206,0,0,0,0
207,56.91566265,0,0.01713811,0
208,0,0,NA,NA
209,17.94117647,0,0.149509804,0
210,3.857142857,5,0.257142857,0.333333333
211,0.75,0,0.035714286,0
212,28.09090909,0,0.056634897,0
213,3.777777778,0,0.134920635,0
214,78.90697674,0,0.091645734,0
215,6.083333333,0,0.110606061,0
216,2,0,0.133333333,0
217,0,0,NA,NA
218,0,0,NA,NA
219,1,1,0.333333333,0.333333333
220,0.714285714,0,0.047619048,0
221,5.2,0,0.057142857,0
222,4,0,0.142857143,0
223,13.57142857,6,0.173992674,0.076923077
224,5.47826087,0,0.023715415,0
225,26.28571429,0,0.074888075,0
226,0.5,0,0.166666667,0
227,1.625,0,0.01547619,0
228,0,0,0,0
229,0,0,NA,NA
230,23.82608696,0,0.103143234,0
231,0.333333333,0,0.333333333,0
232,3.230769231,0,0.048951049,0
233,68.70212766,0,0.066378867,0
234,43.82608696,0,0.044268775,0
235,80.02531646,0,0.026648457,0
236,4.714285714,0,0.06043956,0
237,21.67857143,0,0.061762312,0
238,7.2,4,0.2,0.111111111
239,7.230769231,0,0.10955711,0
240,2.684210526,0,0.01754386,0
241,0.333333333,0,0.333333333,0
242,1.333333333,0,0.133333333,0
243,8.733333333,0,0.095970696,0
244,88.18,0,0.074982993,0
245,0,0,NA,NA
246,0.333333333,0,0.333333333,0
247,0,0,0,0
248,0,0,0,0
249,6.777777778,7,0.242063492,0.25
250,14.52631579,0,0.09494324,0
251,0,0,NA,NA
252,0.666666667,0,0.066666667,0
253,83.64285714,40,0.102003484,0.048780488
254,5.545454545,0,0.026406926,0
255,1.2,0,0.2,0
256,0,0,0,0
257,277.4690265,111,0.044637874,0.017857143
258,0.5,0,0.166666667,0
259,0,0,NA,NA
260,0,0,NA,NA
261,74.12727273,0,0.051801029,0
262,0,0,NA,NA
263,2.428571429,0,0.031135531,0
264,2,3,0.333333333,0.5
265,4.4,0,0.025730994,0
266,13.05,0,0.017611336,0
267,0,0,0,0
268,0,0,0,0
269,2.625,0,0.125,0
270,0,0,NA,NA
271,6.777777778,7,0.242063492,0.25
272,20.10526316,17,0.131406949,0.111111111
273,0.333333333,0,0.333333333,0
274,43.36666667,0,0.10681445,0
275,6.818181818,9,0.151515152,0.2
276,2.571428571,0,0.171428571,0
277,159.44,48,0.135578231,0.040816327
278,0,0,NA,NA
279,9.333333333,12,0.333333333,0.428571429
280,0.857142857,0,0.010989011,0
281,0,0,NA,NA
282,2,3,0.333333333,0.5
283,1.666666667,0,0.166666667,0
284,2.333333333,2,0.233333333,0.2
285,0.6,0,0.1,0
286,0,0,NA,NA
287,2,3,0.333333333,0.5
288,0.333333333,0,0.333333333,0
289,12.84615385,11,0.194638695,0.166666667
290,0,0,NA,NA
291,0.333333333,0,0.333333333,0
292,0.333333333,0,0.333333333,0
293,36.2173913,0,0.156785244,0
294,0,0,NA,NA
295,1.6,0,0.266666667,0
296,4.142857143,5,0.276190476,0.333333333
297,0.333333333,0,0.333333333,0
298,0,0,0,0
299,0.5,0.5,0.166666667,0.166666667
300,0,0,NA,NA
301,1.428571429,0,0.095238095,0
302,26.42105263,0,0.172686619,0
303,0.333333333,0,0.333333333,0
304,8.75,0,0.083333333,0
305,86.76811594,0,0.038089603,0
306,0.5,0,0.166666667,0
307,2.5,0,0.045454545,0
308,0,0,0,0
309,3.703703704,0,0.011396011,0
310,0,0,NA,NA
311,0,0,0,0
312,0,0,NA,NA
313,7,8,0.333333333,0.380952381
314,496.0138889,268,0.199603175,0.107847082
315,37.09090909,0,0.041075204,0
316,1,1,0.333333333,0.333333333
317,14.34615385,0,0.047820513,0
318,0,0,NA,NA
319,0,0,NA,NA
320,0,0,NA,NA
321,7.857142857,0,0.100732601,0
322,0,0,NA,NA
323,1.6,0,0.266666667,0
324,0.666666667,0,0.066666667,0
325,7.230769231,0,0.10955711,0
326,30.04545455,10,0.143073593,0.047619048
327,0,0,NA,NA
328,17.85,0,0.104385965,0
329,15.68421053,0,0.10251118,0
330,0,0,NA,NA
331,0,0,NA,NA
332,0,0,NA,NA
333,0,0,NA,NA
334,0,0,NA,NA
335,0.333333333,0,0.333333333,0
336,1.875,0,0.089285714,0
337,0,0,NA,NA
338,2.333333333,2,0.233333333,0.2
339,10.45454545,0,0.04978355,0
340,0.333333333,0,0.333333333,0
341,0.333333333,0,0.333333333,0
342,0,0,0,0
343,1,1,0.333333333,0.333333333
344,2.125,0,0.101190476,0
345,0,0,NA,NA
346,1,1,0.333333333,0.333333333
347,3.666666667,0,0.066666667,0
348,0,0,NA,NA
349,0,0,NA,NA
350,0,0,NA,NA
351,0.5,0,0.166666667,0
352,0,0,NA,NA
353,19,0,0.063333333,0
354,1.6,0,0.266666667,0
355,0,0,0,0
356,1.6,0,0.266666667,0
357,20.27777778,16,0.149101307,0.117647059
358,2.166666667,0,0.216666667,0
359,8.333333333,0,0.06127451,0
360,0,0,0,0
361,1.857142857,0,0.123809524,0
362,0,0,NA,NA
363,0.6,0,0.1,0
364,2,3,0.333333333,0.5
365,0,0,NA,NA
366,2.333333333,2,0.233333333,0.2
367,0,0,NA,NA
368,9.583333333,0,0.174242424,0
369,0.666666667,0,0.066666667,0
370,0.333333333,0,0.333333333,0
371,0.875,0,0.008333333,0
372,0,0,0,0
373,0,0,NA,NA
374,0,0,0,0
375,8.2,8,0.227777778,0.222222222
376,0,0,0,0
377,0,0,NA,NA
378,0,0,NA,NA
379,2.538461538,0,0.038461538,0
380,0,0,0,0
381,12.42857143,0,0.035409035,0
382,0,0,0,0
383,2.333333333,2,0.233333333,0.2
384,0,0,NA,NA
385,1,1,0.333333333,0.333333333
386,0.6,0,0.1,0
387,1.333333333,0,0.133333333,0
388,2.5,0,0.023809524,0
389,0.714285714,0,0.047619048,0
390,5.636363636,0,0.125252525,0
391,0,0,NA,NA
392,0,0,NA,NA
393,0.5,0,0.166666667,0
394,2.666666667,2,0.266666667,0.2
395,0.333333333,0,0.333333333,0
396,0,0,NA,NA
397,0.75,0,0.25,0
398,0,0,NA,NA
399,0.333333333,0,0.333333333,0
400,0,0,NA,NA
401,0,0,NA,NA
402,0,0,NA,NA
403,8.538461538,11,0.129370629,0.166666667
404,1,1,0.333333333,0.333333333
405,26.47826087,0,0.114624506,0
406,0,0,0,0
407,2,3,0.333333333,0.5
408,0,0,NA,NA
409,0,0,0,0
410,1.4,0,0.038888889,0
411,0,0,0,0
412,0.75,0,0.25,0
413,4.222222222,0,0.150793651,0
414,0,0,NA,NA
415,1,1,0.333333333,0.333333333
416,0,0,NA,NA
417,0,0,NA,NA
418,0.333333333,0,0.333333333,0
419,6.363636364,0,0.141414141,0
420,0.666666667,0,0.066666667,0
421,5.888888889,7,0.21031746,0.25
422,0,0,NA,NA
423,9.333333333,12,0.333333333,0.428571429
424,0,0,NA,NA
425,0,0,NA,NA
426,0,0,0,0
427,0.8,0,0.022222222,0
428,0,0,0,0
429,0,0,NA,NA
430,0,0,NA,NA
431,9,0,0.075,0
432,0,0,NA,NA
433,0.333333333,0,0.333333333,0
434,1.333333333,0,0.133333333,0
435,2.333333333,0,0.233333333,0
436,31.44444444,25,0.096752137,0.076923077
437,0.666666667,0,0.066666667,0
438,1.666666667,0,0.166666667,0
439,0,0,NA,NA
440,5.777777778,0,0.206349206,0
441,0,0,NA,NA
442,0.333333333,0,0.333333333,0
443,3.285714286,5,0.219047619,0.333333333
444,0,0,NA,NA
445,0,0,NA,NA
446,0,0,NA,NA
447,0,0,NA,NA
448,2.333333333,0,0.042424242,0
449,0,0,NA,NA
450,17.88235294,15,0.149019608,0.125
451,0.333333333,0,0.333333333,0
452,3.5,0,0.166666667,0
453,0.333333333,0,0.333333333,0
454,0,0,NA,NA
455,8.083333333,0,0.146969697,0
456,0,0,NA,NA
457,2,3,0.333333333,0.5
458,0,0,NA,NA
459,0,0,NA,NA
460,1.666666667,0,0.166666667,0
461,0.333333333,0,0.333333333,0
462,0,0,NA,NA
463,0.6,0,0.1,0
464,0,0,NA,NA
465,0.666666667,0,0.066666667,0
466,8.285714286,0,0.106227106,0
467,0,0,NA,NA
468,1.6,0,0.266666667,0
469,0.6,0,0.1,0
470,0.333333333,0,0.333333333,0
471,0,0,NA,NA
472,0.333333333,0,0.333333333,0
473,0.333333333,0,0.333333333,0
474,3.916666667,0,0.071212121,0
475,0,0,NA,NA
476,9.777777778,0,0.071895425,0
477,0,0,NA,NA
478,1.666666667,0,0.166666667,0
479,0.333333333,0,0.333333333,0
480,0.666666667,0,0.066666667,0
481,0,0,NA,NA
482,0,0,NA,NA
483,0.333333333,0,0.333333333,0
484,3.777777778,0,0.134920635,0
485,0,0,NA,NA
486,3.571428571,0,0.238095238,0
487,0,0,NA,NA
488,0.333333333,0,0.333333333,0
489,1.666666667,0,0.166666667,0
490,1.428571429,0,0.095238095,0
491,0,0,NA,NA
492,0.333333333,0,0.333333333,0
493,0.333333333,0,0.333333333,0
494,4,3,0.19047619,0.142857143
495,2.333333333,0,0.083333333,0
496,4.8,0,0.133333333,0
497,0,0,NA,NA
498,0,0,NA,NA
499,0.333333333,0,0.333333333,0
500,2.2,0,0.061111111,0
501,0,0,NA,NA
502,0,0,NA,NA
503,0,0,NA,NA
504,0.333333333,0,0.333333333,0
505,0.333333333,0,0.333333333,0
506,0.333333333,0,0.333333333,0
507,0,0,NA,NA
508,0,0,NA,NA
509,0,0,NA,NA
510,0.333333333,0,0.333333333,0
511,0,0,NA,NA
512,0,0,NA,NA
513,0,0,NA,NA
514,0,0,NA,NA
515,0,0,NA,NA
516,2,3,0.333333333,0.5
517,1.4,0,0.233333333,0
518,0,0,NA,NA
519,3,0,0.2,0
520,0,0,NA,NA
521,1.333333333,0,0.133333333,0
522,4.8,0,0.133333333,0
523,0.333333333,0,0.333333333,0
524,2,3,0.333333333,0.5
525,0,0,NA,NA
526,0.333333333,0,0.333333333,0
527,0.714285714,0,0.047619048,0
528,0,0,0,0
529,2.333333333,2,0.233333333,0.2
530,0,0,NA,NA
531,0,0,NA,NA
532,0,0,NA,NA
533,1,1,0.333333333,0.333333333
534,1.6,0,0.266666667,0
535,0,0,0,0
536,3.6,0,0.1,0
537,1,1,0.333333333,0.333333333
538,0,0,NA,NA
539,0,0,NA,NA
540,0,0,NA,NA
541,0.666666667,0,0.066666667,0
542,0,0,NA,NA
543,1.4,0,0.233333333,0
544,0.8,0,0.022222222,0
545,3.142857143,0,0.20952381,0
546,0,0,NA,NA
547,0.6,0,0.1,0
548,0,0,NA,NA
549,0,0,NA,NA
550,2,3,0.333333333,0.5
551,1,1,0.333333333,0.333333333
552,0,0,NA,NA
553,1,1,0.333333333,0.333333333
554,0,0,0,0
555,0,0,NA,NA
556,0.333333333,0,0.333333333,0
557,0.333333333,0,0.333333333,0
558,0.333333333,0,0.333333333,0
559,1.714285714,0,0.114285714,0
560,0.333333333,0,0.333333333,0
561,0,0,NA,NA
562,0,0,NA,NA
563,0,0,NA,NA
564,0,0,NA,NA
565,1.333333333,0,0.133333333,0
566,0,0,NA,NA
567,0,0,NA,NA
568,0,0,NA,NA
569,0.333333333,0,0.333333333,0
570,1.833333333,0,0.183333333,0
571,0,0,NA,NA
572,0,0,NA,NA
573,0.666666667,0,0.066666667,0
574,0,0,0,0
575,0.5,0,0.166666667,0
576,2,0,0.2,0
577,0.333333333,0,0.333333333,0
578,0,0,NA,NA
579,0,0,NA,NA
580,0,0,NA,NA
581,0.666666667,0,0.066666667,0
582,0.714285714,0,0.047619048,0
583,0,0,NA,NA
584,1,0,0.166666667,0
585,0.333333333,0,0.333333333,0
586,0.333333333,0,0.333333333,0
587,0,0,0,0
588,1,0,0.1,0
589,0,0,0,0
590,0.333333333,0,0.333333333,0
591,2.666666667,2,0.266666667,0.2
592,0,0,NA,NA
593,3.142857143,0,0.20952381,0
594,0.333333333,0,0.333333333,0
595,8.384615385,0,0.127039627,0
596,0,0,NA,NA
597,0.333333333,0,0.333333333,0
598,0,0,NA,NA
599,0,0,0,0
600,0,0,NA,NA
601,0,0,NA,NA
602,0.333333333,0,0.333333333,0
603,0,0,NA,NA
604,1.5,0,0.071428571,0
605,0,0,NA,NA
606,0,0,NA,NA
607,0,0,0,0
608,0,0,0,0
609,0,0,NA,NA
610,0,0,NA,NA
611,0.333333333,0,0.333333333,0
612,0,0,NA,NA
613,0,0,0,0
614,0,0,NA,NA
615,0.333333333,0,0.333333333,0
616,0.333333333,0,0.333333333,0
617,0,0,NA,NA
618,0,0,0,0
619,0,0,NA,NA
620,0,0,NA,NA
621,4.5,3,0.214285714,0.142857143
622,0,0,NA,NA
623,0,0,NA,NA
624,0,0,NA,NA
625,0,0,0,0
626,1.2,0,0.2,0
627,0,0,0,0
628,0,0,NA,NA
629,0,0,NA,NA
630,0.333333333,0,0.333333333,0
631,0,0,0,0
632,14.88235294,15,0.124019608,0.125
633,1.6,0,0.266666667,0
634,0,0,0,0
635,0.333333333,0,0.333333333,0
636,0.5,0,0.166666667,0
637,0,0,NA,NA
638,0.5,0,0.166666667,0
639,0.6,0,0.1,0
640,0.333333333,0,0.333333333,0
641,0,0,NA,NA
642,0,0,NA,NA
643,3.5,0,0.166666667,0
644,0,0,NA,NA
645,0,0,NA,NA
646,0,0,NA,NA
647,0,0,NA,NA
648,2,3,0.333333333,0.5
649,0,0,NA,NA
650,0,0,NA,NA
651,0.6,0,0.1,0
652,1,1,0.333333333,0.333333333
653,1.833333333,0,0.183333333,0
654,0,0,0,0
655,0,0,NA,NA
656,0.333333333,0,0.333333333,0
657,0,0,NA,NA
658,0,0,NA,NA
659,0,0,0,0
660,1.166666667,0,0.116666667,0
661,2.333333333,2,0.233333333,0.2
662,1,1,0.333333333,0.333333333
663,0,0,NA,NA
664,0,0,NA,NA
665,0.6,0,0.1,0
666,1,1,0.333333333,0.333333333
667,0,0,0,0
668,0,0,0,0
669,0,0,NA,NA
670,0,0,NA,NA
671,0,0,0,0
672,1,1,0.333333333,0.333333333
673,0,0,0,0
674,0,0,NA,NA
675,0,0,NA,NA
676,0.5,0,0.166666667,0
677,0.333333333,0,0.333333333,0
678,0.333333333,0,0.333333333,0
679,0,0,NA,NA
680,0.333333333,0,0.333333333,0
681,4.428571429,5,0.295238095,0.333333333
682,0,0,NA,NA
683,0,0,NA,NA
684,0,0,0,0
685,2,3,0.333333333,0.5
686,0.333333333,0,0.333333333,0
687,0,0,NA,NA
688,0,0,0,0
689,0,0,NA,NA
690,0,0,NA,NA
691,0.333333333,0,0.333333333,0
692,1,1,0.333333333,0.333333333
693,0.333333333,0,0.333333333,0
694,0,0,NA,NA
695,0,0,NA,NA
696,0.333333333,0,0.333333333,0
697,0,0,NA,NA
698,0,0,NA,NA
699,0,0,NA,NA
700,0,0,NA,NA
701,1,1,0.333333333,0.333333333
702,1,1,0.333333333,0.333333333
703,0,0,NA,NA
704,0.6,0,0.1,0
705,1.555555556,0,0.055555556,0
706,0,0,NA,NA
707,0,0,0,0
708,0,0,0,0
709,0,0,NA,NA
710,0.5,0,0.166666667,0
711,0.5,0,0.166666667,0
712,0.333333333,0,0.333333333,0
713,0,0,NA,NA
714,0,0,NA,NA
715,0,0,NA,NA
716,0,0,NA,NA
717,0,0,NA,NA
718,0,0,NA,NA
719,0,0,NA,NA
720,0,0,NA,NA
721,0,0,0,0
722,0,0,0,0
723,0,0,NA,NA
724,0,0,NA,NA
725,0.333333333,0,0.333333333,0
726,0,0,NA,NA
727,0,0,0,0
728,0,0,0,0
729,0,0,NA,NA
730,0,0,NA,NA
731,3,0,0.2,0
732,0,0,NA,NA
733,0.333333333,0,0.333333333,0
734,0,0,NA,NA
735,0,0,NA,NA
736,0,0,NA,NA
737,0,0,NA,NA
738,0,0,NA,NA
739,0,0,NA,NA
740,0,0,NA,NA
741,0,0,NA,NA
742,0,0,NA,NA
743,0,0,NA,NA
744,0,0,NA,NA
745,0.333333333,0,0.333333333,0
746,0,0,NA,NA
747,0,0,NA,NA
748,0,0,0,0
749,0,0,NA,NA
750,2.166666667,0,0.216666667,0
751,0,0,NA,NA
752,1.428571429,0,0.095238095,0
753,0.333333333,0,0.333333333,0
754,0,0,0,0
755,0,0,0,0
756,0,0,0,0
757,0,0,NA,NA
758,0.5,0,0.166666667,0
759,0,0,NA,NA
760,2,3,0.333333333,0.5
761,5.875,6,0.279761905,0.285714286
762,2,3,0.333333333,0.5
763,0,0,NA,NA
764,1.833333333,0,0.183333333,0
765,0.333333333,0,0.333333333,0
766,0,0,0,0
767,0,0,NA,NA
768,0,0,NA,NA
769,0,0,NA,NA
770,0,0,NA,NA
771,0.333333333,0,0.333333333,0
772,2.571428571,0,0.171428571,0
773,0,0,NA,NA
774,1,1,0.333333333,0.333333333
775,0,0,0,0
776,0.333333333,0,0.333333333,0
777,0,0,NA,NA
778,0,0,NA,NA
779,0,0,NA,NA
780,0,0,NA,NA
781,4.142857143,5,0.276190476,0.333333333
782,0.333333333,0,0.333333333,0
783,0,0,0,0
784,0,0,NA,NA
785,0,0,NA,NA
786,0.333333333,0,0.333333333,0
787,0,0,NA,NA
788,0,0,NA,NA
789,0,0,NA,NA
790,0,0,NA,NA
791,0,0,NA,NA
792,0.333333333,0,0.333333333,0
793,0,0,NA,NA
794,0,0,NA,NA
795,0.333333333,0,0.333333333,0
796,0,0,0,0
797,0.333333333,0,0.333333333,0
798,0,0,NA,NA
799,0,0,0,0
800,2,3,0.333333333,0.5
801,0,0,NA,NA
802,0,0,NA,NA
803,0.333333333,0,0.333333333,0
804,0.333333333,0,0.333333333,0
805,0,0,NA,NA
806,0,0,NA,NA
807,0,0,NA,NA
808,0,0,0,0
809,0.333333333,0,0.333333333,0
810,0.333333333,0,0.333333333,0
811,0,0,NA,NA
812,0,0,NA,NA
813,0,0,NA,NA
814,0.5,0,0.166666667,0
815,0,0,0,0
816,0,0,NA,NA
817,0,0,NA,NA
818,0,0,NA,NA
819,0.333333333,0,0.333333333,0
820,0,0,0,0
821,0.6,0,0.1,0
822,0,0,NA,NA
823,0,0,NA,NA
824,0,0,NA,NA
825,0,0,NA,NA
826,0,0,0,0
827,2,3,0.333333333,0.5
828,0.333333333,0,0.333333333,0
829,0.333333333,0,0.333333333,0
830,0,0,NA,NA
831,0.5,0,0.166666667,0
832,0.333333333,0,0.333333333,0
833,0.333333333,0,0.333333333,0
834,0,0,NA,NA
835,0,0,NA,NA
836,0,0,NA,NA
837,0,0,NA,NA
838,0,0,NA,NA
839,0,0,NA,NA
840,0,0,NA,NA
841,0,0,NA,NA
842,0,0,NA,NA
843,1,0,0.1,0
844,0,0,NA,NA
845,0,0,NA,NA
846,0,0,NA,NA
847,0,0,NA,NA
848,0,0,NA,NA
849,0,0,NA,NA
850,0,0,NA,NA
851,1,1,0.333333333,0.333333333
852,0,0,NA,NA
853,1,1,0.333333333,0.333333333
854,0,0,NA,NA
855,0,0,0,0
856,0,0,NA,NA
857,0,0,NA,NA
858,2.666666667,2,0.266666667,0.2
859,0,0,NA,NA
860,0,0,NA,NA
861,0,0,NA,NA
862,0,0,NA,NA
863,0,0,NA,NA
864,0,0,NA,NA
865,0.333333333,0,0.333333333,0
866,0,0,NA,NA
867,0,0,NA,NA
868,0,0,NA,NA
869,0,0,NA,NA
870,0,0,NA,NA
871,0,0,NA,NA
872,0,0,NA,NA
873,0.333333333,0,0.333333333,0
874,0,0,NA,NA
875,0,0,NA,NA
876,0,0,NA,NA
877,0,0,NA,NA
878,0,0,NA,NA
879,0,0,NA,NA
880,0,0,NA,NA
881,0.333333333,0,0.333333333,0
882,0,0,NA,NA
883,0.333333333,0,0.333333333,0
884,0,0,NA,NA
885,0,0,NA,NA
886,0,0,NA,NA
887,0,0,NA,NA
888,0,0,NA,NA
889,0,0,NA,NA
890,0,0,NA,NA
891,0,0,NA,NA
892,0,0,NA,NA
893,0,0,NA,NA
894,0,0,NA,NA
895,0,0,NA,NA
896,0,0,NA,NA
897,0,0,NA,NA
898,0,0,NA,NA
