"","cluster","net_id"
"2",1,"2"
"3",1,"3"
"5",2,"5"
"6",1,"6"
"7",2,"7"
"8",3,"8"
"9",1,"9"
"10",1,"10"
"11",4,"11"
"13",2,"13"
"14",3,"14"
"15",4,"15"
"16",2,"16"
"17",2,"17"
"18",2,"18"
"19",5,"19"
"20",4,"20"
"21",2,"21"
"23",2,"23"
"24",1,"24"
"25",2,"25"
"26",2,"26"
"27",5,"27"
"28",1,"28"
"29",4,"29"
"30",5,"30"
"31",2,"31"
"32",3,"32"
"33",1,"33"
"34",1,"34"
"35",4,"35"
"36",4,"36"
"37",2,"37"
"38",5,"38"
"39",5,"39"
"40",2,"40"
"41",3,"41"
"42",5,"42"
"43",4,"43"
"44",3,"44"
"45",2,"45"
"46",2,"46"
"47",1,"47"
"48",1,"48"
"49",3,"49"
"50",1,"50"
"51",5,"51"
"52",4,"52"
"53",2,"53"
"54",5,"54"
"56",2,"56"
"57",4,"57"
"58",2,"58"
"59",1,"59"
"60",2,"60"
"61",5,"61"
"62",5,"62"
"63",2,"63"
"64",4,"64"
"65",3,"65"
"66",5,"66"
"67",2,"67"
"68",2,"68"
"69",3,"69"
"70",5,"70"
"71",3,"71"
"72",5,"72"
"73",3,"73"
"74",3,"74"
"75",2,"75"
"77",5,"77"
"78",3,"78"
"79",2,"79"
"80",3,"80"
"81",5,"81"
"83",3,"83"
"85",5,"85"
"86",3,"86"
"87",2,"87"
"88",2,"88"
"90",2,"90"
"91",5,"91"
"92",3,"92"
"93",3,"93"
"94",5,"94"
"95",3,"95"
"96",5,"96"
"97",5,"97"
"98",2,"98"
"99",3,"99"
"100",2,"100"
"102",3,"102"
"103",5,"103"
"104",3,"104"
"105",3,"105"
"106",5,"106"
"108",5,"108"
"109",3,"109"
"110",2,"110"
"111",3,"111"
"112",3,"112"
"113",5,"113"
"114",3,"114"
"115",3,"115"
"117",3,"117"
"118",3,"118"
"119",3,"119"
"120",2,"120"
"122",3,"122"
"123",3,"123"
"125",5,"125"
"126",2,"126"
"127",3,"127"
"129",3,"129"
"130",3,"130"
"132",2,"132"
"133",2,"133"
"134",3,"134"
"135",3,"135"
"136",3,"136"
"137",5,"137"
"139",2,"139"
"140",3,"140"
"141",5,"141"
"142",5,"142"
"144",5,"144"
"145",3,"145"
"146",3,"146"
"147",3,"147"
"148",3,"148"
"150",3,"150"
"151",3,"151"
"152",5,"152"
"153",2,"153"
"154",5,"154"
"156",5,"156"
"158",5,"158"
"160",2,"160"
"161",3,"161"
"162",5,"162"
"164",5,"164"
"165",3,"165"
"166",2,"166"
"168",3,"168"
"169",3,"169"
"173",5,"173"
"175",5,"175"
"177",3,"177"
"178",5,"178"
"180",5,"180"
"184",3,"184"
"185",5,"185"
"187",5,"187"
"188",3,"188"
"189",2,"189"
"190",5,"190"
"191",5,"191"
"192",3,"192"
"194",3,"194"
"195",5,"195"
"196",3,"196"
"198",5,"198"
"199",3,"199"
"200",3,"200"
"201",3,"201"
"202",5,"202"
"204",5,"204"
"205",5,"205"
"207",3,"207"
"209",5,"209"
"210",5,"210"
"211",3,"211"
"212",5,"212"
"213",5,"213"
"214",3,"214"
"215",5,"215"
"216",5,"216"
"220",5,"220"
"221",3,"221"
"222",5,"222"
"223",5,"223"
"224",3,"224"
"225",5,"225"
"227",3,"227"
"230",5,"230"
"232",3,"232"
"233",3,"233"
"234",3,"234"
"235",3,"235"
"236",3,"236"
"237",3,"237"
"238",5,"238"
"239",5,"239"
"240",3,"240"
"242",5,"242"
"243",5,"243"
"244",3,"244"
"247",5,"247"
"248",3,"248"
"249",5,"249"
"250",5,"250"
"252",3,"252"
"253",3,"253"
"254",3,"254"
"255",5,"255"
"256",5,"256"
"257",2,"257"
"261",3,"261"
"263",3,"263"
"264",5,"264"
"265",3,"265"
"266",3,"266"
"269",5,"269"
"271",5,"271"
"272",5,"272"
"274",5,"274"
"275",5,"275"
"276",5,"276"
"277",3,"277"
"279",5,"279"
"280",5,"280"
"282",5,"282"
"283",5,"283"
"284",5,"284"
"285",5,"285"
"287",5,"287"
"289",5,"289"
"293",5,"293"
"295",5,"295"
"296",5,"296"
"301",5,"301"
"302",3,"302"
"304",3,"304"
"305",3,"305"
"307",3,"307"
"309",3,"309"
"313",5,"313"
"314",3,"314"
"315",3,"315"
"317",5,"317"
"321",5,"321"
"323",5,"323"
"324",5,"324"
"325",3,"325"
"326",5,"326"
"328",5,"328"
"329",3,"329"
"336",5,"336"
"338",5,"338"
"339",3,"339"
"342",5,"342"
"344",5,"344"
"347",3,"347"
"353",5,"353"
"354",5,"354"
"355",3,"355"
"356",5,"356"
"357",5,"357"
"358",5,"358"
"359",5,"359"
"361",5,"361"
"363",5,"363"
"364",5,"364"
"366",5,"366"
"368",5,"368"
"369",5,"369"
"371",3,"371"
"375",5,"375"
"376",3,"376"
"379",5,"379"
"381",3,"381"
"382",5,"382"
"383",5,"383"
"386",5,"386"
"387",5,"387"
"388",3,"388"
"389",5,"389"
"390",3,"390"
"394",5,"394"
"403",5,"403"
"405",3,"405"
"406",5,"406"
"407",5,"407"
"410",3,"410"
"411",3,"411"
"413",3,"413"
"419",5,"419"
"420",3,"420"
"421",5,"421"
"423",5,"423"
"427",3,"427"
"431",5,"431"
"434",5,"434"
"435",5,"435"
"436",5,"436"
"437",5,"437"
"438",5,"438"
"440",5,"440"
"443",5,"443"
"448",3,"448"
"450",5,"450"
"452",5,"452"
"455",5,"455"
"457",5,"457"
"460",5,"460"
"463",5,"463"
"465",5,"465"
"466",5,"466"
"468",5,"468"
"469",5,"469"
"474",5,"474"
"476",3,"476"
"478",3,"478"
"480",5,"480"
"484",3,"484"
"486",5,"486"
"489",5,"489"
"490",5,"490"
"494",5,"494"
"495",5,"495"
"496",5,"496"
"500",3,"500"
"516",5,"516"
"517",5,"517"
"519",5,"519"
"521",5,"521"
"522",5,"522"
"524",5,"524"
"527",3,"527"
"529",5,"529"
"534",5,"534"
"536",5,"536"
"541",3,"541"
"543",5,"543"
"544",3,"544"
"545",5,"545"
"547",3,"547"
"550",5,"550"
"559",5,"559"
"565",5,"565"
"570",5,"570"
"573",5,"573"
"576",5,"576"
"581",5,"581"
"582",5,"582"
"584",5,"584"
"588",5,"588"
"591",5,"591"
"593",5,"593"
"595",5,"595"
"604",5,"604"
"621",5,"621"
"626",5,"626"
"627",5,"627"
"632",5,"632"
"633",5,"633"
"639",5,"639"
"643",3,"643"
"648",5,"648"
"651",5,"651"
"653",5,"653"
"660",5,"660"
"661",5,"661"
"665",3,"665"
"673",5,"673"
"681",5,"681"
"685",5,"685"
"704",5,"704"
"705",5,"705"
"721",5,"721"
"731",5,"731"
"750",5,"750"
"752",5,"752"
"760",5,"760"
"761",5,"761"
"762",5,"762"
"764",5,"764"
"766",5,"766"
"772",3,"772"
"781",5,"781"
"800",5,"800"
"821",5,"821"
"827",5,"827"
"843",5,"843"
"858",5,"858"
